Mode,Start_Time,Animal,Unit,Weight
1,2025-07-16 00:05:35.735093,1111111248249,3,23.82
1,2025-07-16 00:05:35.937286,1111111248249,3,25.52
1,2025-07-16 00:05:36.139860,1111111248249,3,26.45
1,2025-07-16 00:05:36.342319,1111111248249,3,26.21
1,2025-07-16 00:05:36.544830,1111111248249,3,26.37
1,2025-07-16 00:05:36.747794,1111111248249,3,26.18
1,2025-07-16 00:05:36.950902,1111111248249,3,24.93
1,2025-07-16 00:05:37.153745,1111111248249,3,25.86
1,2025-07-16 00:05:37.357297,1111111248249,3,26.4
1,2025-07-16 00:05:37.564254,1111111248249,3,26.29
1,2025-07-16 00:05:38.150929,1111111248249,3,25.72
1,2025-07-16 00:05:38.354816,1111111248249,3,26.11
1,2025-07-16 00:05:38.558111,1111111248249,3,26.07
1,2025-07-16 00:05:38.760896,1111111248249,3,19.89
1,2025-07-16 00:05:38.963653,1111111248249,3,13.7
1,2025-07-16 00:05:39.166118,1111111248249,3,5.88
1,2025-07-16 00:05:39.368784,1111111248249,3,1.43
1,2025-07-16 00:05:39.571511,1111111248249,3,-1.45
1,2025-07-16 00:05:39.774332,1111111248249,3,-0.24
1,2025-07-16 00:05:39.977209,1111111248249,3,0.15
1,2025-07-16 00:06:04.412233,1111110192192,3,24.42
1,2025-07-16 00:06:04.614624,1111110192192,3,27.21
1,2025-07-16 00:06:04.817271,1111110192192,3,27.85
1,2025-07-16 00:06:05.021673,1111110192192,3,28.02
1,2025-07-16 00:06:05.224616,1111110192192,3,28.27
1,2025-07-16 00:06:05.427956,1111110192192,3,27.79
1,2025-07-16 00:06:05.631184,1111110192192,3,27.44
1,2025-07-16 00:06:05.834224,1111110192192,3,28.83
1,2025-07-16 00:06:06.037618,1111110192192,3,26.77
1,2025-07-16 00:06:06.241396,1111110192192,3,26.78
1,2025-07-16 00:06:07.252466,1111110192192,3,26.9
1,2025-07-16 00:06:07.454649,1111110192192,3,26.4
1,2025-07-16 00:06:07.657160,1111110192192,3,26.5
1,2025-07-16 00:06:07.859157,1111110192192,3,25.93
1,2025-07-16 00:06:08.061594,1111110192192,3,27.99
1,2025-07-16 00:06:08.264529,1111110192192,3,18.76
1,2025-07-16 00:06:08.467085,1111110192192,3,13.36
1,2025-07-16 00:06:08.669493,1111110192192,3,11.95
1,2025-07-16 00:06:08.872094,1111110192192,3,11.02
1,2025-07-16 00:06:09.074626,1111110192192,3,6.22
1,2025-07-16 00:08:19.429609,11111116362,3,28.5
1,2025-07-16 00:08:19.632063,11111116362,3,19.68
1,2025-07-16 00:08:19.835633,11111116362,3,26.47
1,2025-07-16 00:08:20.039566,11111116362,3,26.2
1,2025-07-16 00:08:20.242023,11111116362,3,23.17
1,2025-07-16 00:08:20.443759,11111116362,3,22.57
1,2025-07-16 00:08:20.646861,11111116362,3,27.43
1,2025-07-16 00:08:20.849513,11111116362,3,29.62
1,2025-07-16 00:08:21.052378,11111116362,3,30.21
1,2025-07-16 00:08:21.255133,11111116362,3,30.29
1,2025-07-16 00:40:22.951722,11111114041,3,23.27
1,2025-07-16 00:40:23.154697,11111114041,3,19.64
1,2025-07-16 00:40:23.358766,11111114041,3,24.74
1,2025-07-16 00:40:23.562038,11111114041,3,29.36
1,2025-07-16 00:40:23.765263,11111114041,3,29.37
1,2025-07-16 00:40:23.968517,11111114041,3,28.84
1,2025-07-16 00:40:24.170585,11111114041,3,30.32
1,2025-07-16 00:40:24.373307,11111114041,3,32.27
1,2025-07-16 00:40:24.578885,11111114041,3,29.09
