Mode,Start_Time,Animal,Unit,Weight
1,2025-08-11 00:00:30.583043,1964711262,3,21.2
1,2025-08-11 00:00:30.785798,1964711262,3,20.65
1,2025-08-11 00:00:30.988359,1964711262,3,26.49
1,2025-08-11 00:00:31.191611,1964711262,3,29.69
1,2025-08-11 00:00:31.395446,1964711262,3,30.26
1,2025-08-11 00:00:31.598121,1964711262,3,30.2
1,2025-08-11 00:00:31.801427,1964711262,3,30.69
1,2025-08-11 00:00:32.004405,1964711262,3,29.91
1,2025-08-11 00:00:32.207258,1964711262,3,30.44
1,2025-08-11 00:00:32.410032,1964711262,3,30.64
1,2025-08-11 00:04:01.791785,19645674,3,21.65
1,2025-08-11 00:04:01.994340,19645674,3,22.69
1,2025-08-11 00:04:02.196337,19645674,3,26.55
1,2025-08-11 00:04:02.398004,19645674,3,26.9
1,2025-08-11 00:04:02.600521,19645674,3,27.33
1,2025-08-11 00:04:02.803156,19645674,3,27.59
1,2025-08-11 00:04:03.006056,19645674,3,29.2
1,2025-08-11 00:04:03.207977,19645674,3,27.94
1,2025-08-11 00:04:03.410905,19645674,3,26.54
1,2025-08-11 00:04:03.613841,19645674,3,26.59
1,2025-08-11 00:04:04.305504,19645674,3,27.08
1,2025-08-11 00:04:04.508219,19645674,3,27.38
1,2025-08-11 00:04:04.711101,19645674,3,30.79
1,2025-08-11 00:04:04.913952,19645674,3,17.85
1,2025-08-11 00:04:05.117014,19645674,3,11.72
1,2025-08-11 00:04:05.319603,19645674,3,7.02
1,2025-08-11 00:04:05.522412,19645674,3,2.94
1,2025-08-11 00:04:05.725293,19645674,3,-1.04
1,2025-08-11 00:04:05.927863,19645674,3,-0.16
1,2025-08-11 00:04:06.130163,19645674,3,-0.39
1,2025-08-11 00:04:19.943286,19647181251,3,18.63
1,2025-08-11 00:04:20.145593,19647181251,3,28.38
1,2025-08-11 00:04:20.347841,19647181251,3,29.09
1,2025-08-11 00:04:20.550253,19647181251,3,29.45
1,2025-08-11 00:04:20.752777,19647181251,3,28.46
1,2025-08-11 00:04:20.955486,19647181251,3,29.15
1,2025-08-11 00:04:21.157863,19647181251,3,29.24
1,2025-08-11 00:04:21.360688,19647181251,3,28.68
1,2025-08-11 00:04:21.562858,19647181251,3,28.29
1,2025-08-11 00:04:21.764556,19647181251,3,28.38
1,2025-08-11 00:05:37.786244,1111111248249,3,24.19
1,2025-08-11 00:05:37.989046,1111111248249,3,28.14
1,2025-08-11 00:05:38.191705,1111111248249,3,28.41
1,2025-08-11 00:05:38.393479,1111111248249,3,28.27
1,2025-08-11 00:05:38.595259,1111111248249,3,28.01
1,2025-08-11 00:05:38.798030,1111111248249,3,28.29
1,2025-08-11 00:05:38.999820,1111111248249,3,28.63
1,2025-08-11 00:05:39.202275,1111111248249,3,27.39
1,2025-08-11 00:05:39.404976,1111111248249,3,27.43
1,2025-08-11 00:05:39.607358,1111111248249,3,26.99
1,2025-08-11 00:05:40.234838,1111111248249,3,30.24
