Mode,Start_Time,Animal,Unit,Weight
1,2025-07-15 00:09:27.816970,1111111248249,3,22.46
1,2025-07-15 00:10:10.378228,11111114041,3,29.33
1,2025-07-15 00:10:12.696208,11111114041,3,29.42
1,2025-07-15 00:11:50.261771,1964711262,3,30.01
1,2025-07-15 00:15:33.069130,19647181251,3,26.31
1,2025-07-15 00:23:18.246606,1964711262,3,29.91
1,2025-07-15 00:28:18.760013,19647181251,3,26.03
1,2025-07-15 00:54:50.924251,11111114041,3,29.82
1,2025-07-15 00:54:53.242247,11111114041,3,30.33
1,2025-07-15 00:59:10.375799,19647181251,3,26.63
1,2025-07-15 00:59:18.062905,19647181251,3,27.95
1,2025-07-15 00:59:21.594957,19647181251,3,26.32
1,2025-07-15 01:07:23.479401,19647181251,3,27.42
1,2025-07-15 01:07:28.260617,19647181251,3,26.38
1,2025-07-15 01:14:26.973841,1111110192192,3,26.69
1,2025-07-15 01:44:21.143018,1111110192192,3,27.18
1,2025-07-15 01:44:24.211926,1111110192192,3,26.91
1,2025-07-15 01:59:04.605673,1111110192192,3,27.77
1,2025-07-15 01:59:07.152166,1111110192192,3,27.08
1,2025-07-15 02:15:12.661137,1111110192192,3,27.73
1,2025-07-15 02:15:15.697260,1111110192192,3,26.36
1,2025-07-15 02:18:36.240922,1111110190190,3,24.32
1,2025-07-15 02:22:04.711421,11111116362,3,29.69
1,2025-07-15 02:23:46.122408,1111110190190,3,23.69
1,2025-07-15 02:42:31.882191,1111111248249,3,25.72
1,2025-07-15 05:07:13.840526,19647181251,3,26.44
1,2025-07-15 05:16:39.994079,19647181251,3,26.19
1,2025-07-15 06:07:09.017046,1111110190190,3,23.87
1,2025-07-15 06:11:55.078433,11111116362,3,29.59
1,2025-07-15 06:12:16.495546,1111110190190,3,23.7
1,2025-07-15 06:32:40.129961,1111110190190,3,23.91
1,2025-07-15 06:42:46.853974,1111110190190,3,23.53
1,2025-07-15 07:50:30.461333,1111111248249,3,26.06
1,2025-07-15 07:50:33.040435,1111111248249,3,25.24
1,2025-07-15 08:03:13.803169,1111111248249,3,24.49
initialize,2025-07-15 08:12:56.312756,0,3,0.25
1,2025-07-15 08:13:25.704874,1111110192192,3,26.76
1,2025-07-15 08:13:28.218453,1111110192192,3,26.09
1,2025-07-15 08:18:14.259128,1111111248249,3,23.78
1,2025-07-15 08:20:26.044937,11111114041,3,28.74
1,2025-07-15 08:20:28.232138,11111114041,3,28.86
1,2025-07-15 08:20:31.170407,11111114041,3,28.07
1,2025-07-15 08:28:51.226571,19647181251,3,25.48
1,2025-07-15 08:36:16.275106,1111110192192,3,26.54
1,2025-07-15 08:36:39.933890,19647181251,3,25.09
1,2025-07-15 08:43:26.194030,1964711262,3,28.92
1,2025-07-15 08:43:44.743316,1111110192192,3,26.24
initialize,2025-07-15 08:45:47.999130,0,3,0.26
1,2025-07-15 08:47:06.402070,1111110192192,3,27.78
1,2025-07-15 08:47:08.817646,1111110192192,3,25.83
1,2025-07-15 08:49:24.330987,1964711262,3,28.51
1,2025-07-15 09:03:56.758366,1964711262,3,27.05
1,2025-07-15 09:11:35.697929,11111116362,3,28.96
initialize,2025-07-15 09:20:20.824632,0,3,0.24
1,2025-07-15 11:41:32.807845,19647181251,5,25.0
1,2025-07-15 11:42:09.553109,1111110192192,3,26.19
initialize,2025-07-15 11:44:20.815913,0,3,0.19
1,2025-07-15 11:44:23.148987,1111110192192,5,25.9
1,2025-07-15 11:44:49.402370,1111110190190,5,23.8
1,2025-07-15 11:45:47.111198,11111116362,5,28.5
1,2025-07-15 11:46:33.419692,19645674,5,23.6
1,2025-07-15 11:47:08.627852,1964711262,5,27.7
1,2025-07-15 11:47:35.967317,11111114041,5,28.0
1,2025-07-15 11:47:44.182942,1111111248249,3,13.61
1,2025-07-15 11:48:25.516776,1111111248249,5,24.6
initialize,2025-07-15 11:54:25.841477,0,3,-0.0
1,2025-07-15 13:37:33.878307,1111111248249,3,20.16
1,2025-07-15 13:37:34.081433,1111111248249,3,23.81
1,2025-07-15 13:37:34.284531,1111111248249,3,24.51
1,2025-07-15 13:37:34.487689,1111111248249,3,24.22
1,2025-07-15 13:37:34.689375,1111111248249,3,24.84
1,2025-07-15 13:37:34.891650,1111111248249,3,25.15
1,2025-07-15 13:37:35.094425,1111111248249,3,24.66
1,2025-07-15 13:37:35.297214,1111111248249,3,24.62
1,2025-07-15 13:37:35.498938,1111111248249,3,24.74
1,2025-07-15 13:37:35.701108,1111111248249,3,24.68
1,2025-07-15 13:37:36.522593,1111111248249,3,24.34
