Mode,Start_Time,Animal,Unit,Drinks1,Drinks2,Drinks3,Drinks4,Swap_direction
1,2025-07-23 00:01:45.561418,19645674,1,0,612,0,0,2->1
1,2025-07-23 01:30:50.168145,11111114041,1,0,578,0,0,2->1
1,2025-07-23 02:43:40.772741,11111116362,1,643,0,0,0,1->2
1,2025-07-23 02:56:34.647609,11111114041,1,2070,0,0,0,1->2
1,2025-07-23 05:59:18.762530,1111111248249,1,559,0,0,0,1->2
initialize,2025-07-23 10:50:55.255313,0,1,0,0,0,0,initialize
initialize,2025-07-23 10:50:55.255317,0,2,0,0,0,0,initialize
initialize,2025-07-23 11:34:08.252270,0,1,0,0,0,0,initialize
initialize,2025-07-23 11:34:08.252273,0,2,0,0,0,0,initialize
initialize,2025-07-23 11:36:22.524165,0,1,0,0,0,0,initialize
initialize,2025-07-23 11:36:22.524168,0,2,0,0,0,0,initialize
initialize,2025-07-23 12:11:45.782400,0,1,0,0,0,0,initialize
initialize,2025-07-23 12:11:45.782403,0,2,0,0,0,0,initialize
initialize,2025-07-23 12:12:06.688253,0,1,0,0,0,0,initialize
initialize,2025-07-23 12:12:06.688256,0,2,0,0,0,0,initialize
initialize,2025-07-23 12:15:37.585485,0,1,0,0,0,0,initialize
initialize,2025-07-23 12:15:37.585488,0,2,0,0,0,0,initialize
initialize,2025-07-23 12:41:23.348013,0,1,0,0,0,0,initialize
initialize,2025-07-23 12:41:23.348016,0,2,0,0,0,0,initialize
initialize,2025-07-23 12:44:43.989466,0,1,0,0,0,0,initialize
initialize,2025-07-23 12:44:43.989469,0,2,0,0,0,0,initialize
1,2025-07-23 13:02:49.926511,19647181251,2,0,0,2483,0,3->4
1,2025-07-23 14:01:15.374816,1111111248249,2,0,0,0,952,4->3
1,2025-07-23 14:18:15.362913,11111114041,2,0,0,1047,0,3->4
1,2025-07-23 14:28:35.928112,19647181251,2,0,0,0,1468,4->3
1,2025-07-23 15:01:43.960259,1111110192192,2,0,0,1075,0,3->4
1,2025-07-23 14:19:28.747675,1964711262,1,3761,0,0,0,1->2
1,2025-07-23 15:33:21.699088,11111116362,2,0,0,603,0,3->4
1,2025-07-23 16:00:06.666724,1111111248249,1,835,0,0,0,1->2
1,2025-07-23 15:54:54.718141,11111114041,2,0,0,0,1316,4->3
1,2025-07-23 16:13:45.575695,1964711262,2,0,0,0,673,4->3
1,2025-07-23 16:19:37.415096,1111111248249,2,0,0,739,0,3->4
1,2025-07-23 16:38:39.692533,19647181251,2,0,0,738,1,3->4
1,2025-07-23 16:42:47.077926,1964711262,2,0,0,564,0,3->4
1,2025-07-23 17:03:49.729916,11111114041,2,0,0,748,0,3->4
1,2025-07-23 17:09:41.440670,1111111248249,2,0,0,0,822,4->3
1,2025-07-23 17:35:25.886085,1964711262,2,0,0,0,1162,4->3
1,2025-07-23 18:12:49.330734,1964711262,2,0,0,557,0,3->4
1,2025-07-23 18:20:22.476289,1111111248249,2,0,0,813,0,3->4
1,2025-07-23 18:36:38.025792,19645674,2,0,0,0,931,4->3
1,2025-07-23 18:48:49.382224,11111114041,2,0,0,0,1643,4->3
1,2025-07-23 21:53:56.374308,11111114041,2,0,0,788,0,3->4
