Mode,Start_Time,Animal,Unit,Weight
1,2025-07-21 00:01:51.254994,11111114041,3,23.72
1,2025-07-21 00:01:51.457930,11111114041,3,21.06
1,2025-07-21 00:01:51.660823,11111114041,3,28.72
1,2025-07-21 00:01:51.863732,11111114041,3,28.58
1,2025-07-21 00:01:52.066122,11111114041,3,30.36
1,2025-07-21 00:01:52.268626,11111114041,3,30.19
1,2025-07-21 00:01:52.471299,11111114041,3,30.65
1,2025-07-21 00:01:52.674366,11111114041,3,31.02
1,2025-07-21 00:01:52.877363,11111114041,3,29.41
1,2025-07-21 00:01:53.080443,11111114041,3,28.47
1,2025-07-21 00:01:53.736131,11111114041,3,28.34
1,2025-07-21 00:01:53.938416,11111114041,3,29.44
1,2025-07-21 00:01:54.140873,11111114041,3,28.08
1,2025-07-21 00:01:54.343468,11111114041,3,25.88
1,2025-07-21 00:01:54.545893,11111114041,3,16.57
1,2025-07-21 00:01:54.748783,11111114041,3,13.99
1,2025-07-21 00:01:54.951735,11111114041,3,9.47
1,2025-07-21 00:01:55.154138,11111114041,3,3.76
1,2025-07-21 00:01:55.356643,11111114041,3,-0.79
1,2025-07-21 00:01:55.560313,11111114041,3,-0.03
1,2025-07-21 00:03:24.378462,19647181251,3,21.29
1,2025-07-21 00:03:24.580153,19647181251,3,24.68
1,2025-07-21 00:03:24.782954,19647181251,3,16.7
1,2025-07-21 00:03:24.984943,19647181251,3,18.22
1,2025-07-21 00:03:25.187773,19647181251,3,26.56
1,2025-07-21 00:03:25.390847,19647181251,3,27.36
1,2025-07-21 00:03:25.598742,19647181251,3,27.16
1,2025-07-21 00:03:25.802308,19647181251,3,27.16
1,2025-07-21 00:03:26.004717,19647181251,3,26.76
1,2025-07-21 00:03:26.208545,19647181251,3,26.21
1,2025-07-21 00:03:33.940427,1964711262,3,28.3
1,2025-07-21 00:03:34.143336,1964711262,3,14.03
1,2025-07-21 00:03:34.346385,1964711262,3,14.11
1,2025-07-21 00:03:34.548809,1964711262,3,14.39
1,2025-07-21 00:03:34.751238,1964711262,3,14.52
1,2025-07-21 00:03:34.953489,1964711262,3,14.52
1,2025-07-21 00:03:35.156185,1964711262,3,14.64
1,2025-07-21 00:03:35.358917,1964711262,3,14.69
1,2025-07-21 00:03:35.561815,1964711262,3,14.67
1,2025-07-21 00:03:35.764115,1964711262,3,14.64
1,2025-07-21 00:03:56.122161,1964711262,3,28.37
1,2025-07-21 00:03:56.325072,1964711262,3,28.37
1,2025-07-21 00:03:56.527639,1964711262,3,11.79
1,2025-07-21 00:03:56.729888,1964711262,3,11.08
1,2025-07-21 00:03:56.932228,1964711262,3,13.1
1,2025-07-21 00:03:57.134670,1964711262,3,13.55
