Mode,Start_Time,Animal,Unit,Drinks1,Drinks2,Drinks3,Drinks4,Swap_direction
initialize,2025-07-21 12:07:54.792035,0,1,0,0,0,0,initialize
initialize,2025-07-21 12:07:54.792038,0,2,0,0,0,0,initialize
initialize,2025-07-21 12:21:41.356803,0,1,0,0,0,0,initialize
initialize,2025-07-21 12:21:41.356806,0,2,0,0,0,0,initialize
initialize,2025-07-21 12:27:05.722717,0,1,0,0,0,0,initialize
initialize,2025-07-21 12:27:05.722720,0,2,0,0,0,0,initialize
1,2025-07-21 14:58:26.041238,19645674,1,604,0,0,0,1->2
1,2025-07-21 15:54:47.744538,1111111248249,1,563,0,0,0,1->2
1,2025-07-21 16:34:11.481159,1111110190190,1,625,0,0,0,1->2
1,2025-07-21 16:40:31.807679,11111114041,1,0,621,0,0,2->1
1,2025-07-21 16:53:31.282606,11111116362,1,0,647,0,0,2->1
1,2025-07-21 17:01:20.999462,1111110192192,1,0,559,0,0,2->1
1,2025-07-21 17:06:49.588350,1964711262,1,554,0,0,0,1->2
1,2025-07-21 17:31:31.556817,19645674,1,0,593,0,0,2->1
1,2025-07-21 18:17:06.403682,19647181251,1,0,571,0,0,2->1
1,2025-07-21 19:39:07.096942,1964711262,1,0,554,0,0,2->1
1,2025-07-21 19:47:40.519882,1111111248249,1,0,554,0,0,2->1
1,2025-07-21 19:57:35.172285,11111114041,1,623,0,0,0,1->2
1,2025-07-21 20:19:04.027704,1111110190190,1,0,584,0,0,2->1
1,2025-07-21 20:38:03.968975,19645674,1,584,0,0,0,1->2
1,2025-07-21 21:25:26.709404,11111116362,1,586,0,0,0,1->2
1,2025-07-21 22:32:31.943418,19647181251,1,555,0,0,0,1->2
1,2025-07-21 22:37:30.084920,1111110192192,2,0,0,557,0,3->4
1,2025-07-21 22:37:48.534819,1111111248249,1,562,0,0,0,1->2
1,2025-07-21 23:56:53.144860,11111114041,1,0,575,0,0,2->1
