Mode,Start_Time,Animal,Unit,Drinks1,Drinks2,Drinks3,Drinks4,Swap_direction
1,2025-07-25 00:48:42.607517,19647181251,2,0,0,584,0,3->4
1,2025-07-25 03:46:27.172692,1964711262,2,0,0,0,629,4->3
initialize,2025-07-25 10:53:34.719242,0,1,0,0,0,0,initialize
initialize,2025-07-25 10:53:34.719245,0,2,0,0,0,0,initialize
initialize,2025-07-25 10:55:25.295296,0,1,0,0,0,0,initialize
initialize,2025-07-25 10:55:25.295300,0,2,0,0,0,0,initialize
initialize,2025-07-25 10:56:46.544567,0,1,0,0,0,0,initialize
initialize,2025-07-25 10:56:46.544571,0,2,0,0,0,0,initialize
initialize,2025-07-25 11:01:12.748352,0,1,0,0,0,0,initialize
initialize,2025-07-25 11:01:12.748356,0,2,0,0,0,0,initialize
initialize,2025-07-25 11:50:05.855432,0,1,0,0,0,0,initialize
initialize,2025-07-25 11:50:05.855435,0,2,0,0,0,0,initialize
initialize,2025-07-25 11:53:26.388871,0,1,0,0,0,0,initialize
initialize,2025-07-25 11:53:26.388875,0,2,0,0,0,0,initialize
initialize,2025-07-25 11:58:17.075405,0,1,0,0,0,0,initialize
initialize,2025-07-25 11:58:17.075408,0,2,0,0,0,0,initialize
initialize,2025-07-25 12:54:52.129305,0,1,0,0,0,0,initialize
initialize,2025-07-25 12:54:52.129308,0,2,0,0,0,0,initialize
initialize,2025-07-25 12:55:17.507406,0,1,0,0,0,0,initialize
initialize,2025-07-25 12:55:17.507409,0,2,0,0,0,0,initialize
initialize,2025-07-25 12:58:24.597722,0,1,0,0,0,0,initialize
initialize,2025-07-25 12:58:24.597725,0,2,0,0,0,0,initialize
1,2025-07-25 15:06:10.855359,1111111248249,2,0,0,0,1874,4->3
1,2025-07-25 16:35:51.279968,1964711262,2,0,0,0,555,4->3
1,2025-07-25 16:58:26.190974,1111110192192,2,0,0,584,0,3->4
1,2025-07-25 17:04:28.969878,1111110190190,2,0,0,0,890,4->3
1,2025-07-25 17:41:13.842770,1111110192192,2,0,0,0,843,4->3
1,2025-07-25 17:49:24.110718,1964711262,2,0,0,604,0,3->4
1,2025-07-25 18:10:49.869493,19645674,2,0,0,0,570,4->3
1,2025-07-25 18:11:18.671450,11111116362,2,0,0,628,0,3->4
1,2025-07-25 18:17:54.358300,19647181251,2,0,0,702,0,3->4
1,2025-07-25 18:21:27.546175,1111110190190,2,0,0,694,0,3->4
1,2025-07-25 18:32:59.128193,1111111248249,2,0,0,636,0,3->4
1,2025-07-25 18:49:36.175925,19647181251,2,0,0,0,1161,4->3
1,2025-07-25 19:12:27.425224,11111114041,2,0,0,565,0,3->4
1,2025-07-25 19:17:47.361854,1111110192192,2,0,0,792,0,3->4
1,2025-07-25 19:28:14.206678,1964711262,2,0,0,0,869,4->3
1,2025-07-25 19:38:39.177593,11111114041,2,0,0,0,786,4->3
1,2025-07-25 19:54:32.138577,19647181251,2,0,0,565,0,3->4
1,2025-07-25 20:03:57.896924,1964711262,2,0,0,771,0,3->4
1,2025-07-25 20:22:21.617282,19645674,2,0,0,583,0,3->4
1,2025-07-25 20:26:24.499747,1964711262,2,0,0,0,862,4->3
1,2025-07-25 20:40:58.994014,1111110192192,2,0,0,0,1069,4->3
1,2025-07-25 20:53:17.489607,1111110190190,2,0,0,0,917,4->3
1,2025-07-25 21:04:37.700055,11111116362,2,0,0,0,578,4->3
1,2025-07-25 21:12:19.962958,11111114041,2,0,0,871,0,3->4
1,2025-07-25 21:28:25.332703,1111110192192,2,0,0,732,0,3->4
1,2025-07-25 22:02:57.907410,1111110190190,2,0,0,887,0,3->4
1,2025-07-25 22:18:23.121509,1111111248249,2,0,0,0,637,4->3
1,2025-07-25 22:28:23.527405,11111114041,2,0,0,0,568,4->3
1,2025-07-25 22:30:01.031605,1111110192192,2,0,0,0,669,4->3
1,2025-07-25 22:38:24.619873,1964711262,2,0,0,1135,0,3->4
1,2025-07-25 22:52:51.671826,11111114041,2,0,0,795,0,3->4
1,2025-07-25 23:29:25.023213,11111116362,2,0,0,624,0,3->4
1,2025-07-25 23:46:00.601650,1111110190190,2,0,0,0,618,4->3
1,2025-07-25 23:49:31.249891,11111114041,2,0,0,0,762,4->3
