Mode,Start_Time,Animal,Unit,Drinks1,Drinks2,Drinks3,Drinks4,Swap_direction
1,2025-07-19 00:10:34.087171,1111110190190,2,0,0,650,0,3->4
1,2025-07-19 00:15:11.325956,1111110192192,2,0,0,621,0,3->4
1,2025-07-19 01:43:34.258064,1964711262,2,0,0,2,596,4->3
1,2025-07-19 02:19:21.930712,11111114041,2,0,0,0,571,4->3
1,2025-07-19 02:35:35.760032,1111111248249,1,578,0,0,0,1->2
1,2025-07-19 03:29:45.810912,11111116362,2,0,0,596,0,3->4
1,2025-07-19 03:42:59.349492,19647181251,2,0,0,0,645,4->3
1,2025-07-19 03:46:01.462719,1111111248249,2,0,0,600,0,3->4
1,2025-07-19 05:01:42.558333,19645674,2,0,0,603,0,3->4
1,2025-07-19 08:06:50.181398,1111110192192,2,0,0,0,642,4->3
1,2025-07-19 10:50:19.818592,11111114041,2,0,0,601,0,3->4
1,2025-07-19 11:00:16.392396,19647181251,2,0,0,559,0,3->4
1,2025-07-19 11:08:49.149784,19645674,2,0,0,0,580,4->3
initialize,2025-07-19 11:54:36.970902,0,1,0,0,0,0,initialize
initialize,2025-07-19 11:54:36.970906,0,2,0,0,0,0,initialize
initialize,2025-07-19 11:59:48.580429,0,1,0,0,0,0,initialize
initialize,2025-07-19 11:59:48.580433,0,2,0,0,0,0,initialize
1,2025-07-19 15:05:21.634522,1111110190190,2,0,0,563,0,3->4
1,2025-07-19 15:48:34.490164,19647181251,2,0,0,572,0,3->4
1,2025-07-19 15:51:03.699466,11111114041,2,0,0,584,0,3->4
