Mode,Start_Time,Animal,Unit,Drinks1,Drinks2,Drinks3,Drinks4,Swap_direction
1,2025-07-17 01:24:17.634912,1111110192192,2,0,0,0,602,4->3
1,2025-07-17 01:32:15.626867,1964711262,2,0,0,0,624,4->3
1,2025-07-17 02:04:51.013544,19647181251,2,0,0,0,534,4->3
1,2025-07-17 04:52:52.957965,1111111248249,2,0,0,0,570,4->3
1,2025-07-17 04:57:43.006779,11111114041,2,0,0,0,588,4->3
1,2025-07-17 06:20:27.234950,11111116362,2,0,0,0,546,4->3
1,2025-07-17 08:17:17.653020,19647181251,2,0,0,537,0,3->4
1,2025-07-17 08:51:23.240888,1111110192192,2,0,0,739,0,3->4
initialize,2025-07-17 10:23:16.651180,0,1,0,0,0,0,initialize
initialize,2025-07-17 10:23:16.651183,0,2,0,0,0,0,initialize
1,2025-07-17 10:23:44.224982,19647231169,2,0,0,73,0,3->4
initialize,2025-07-17 11:16:23.147812,0,1,0,0,0,0,initialize
initialize,2025-07-17 11:16:23.147817,0,2,0,0,0,0,initialize
initialize,2025-07-17 11:16:54.213696,0,1,0,0,0,0,initialize
initialize,2025-07-17 11:16:54.213699,0,2,0,0,0,0,initialize
initialize,2025-07-17 12:02:23.068454,0,1,0,0,0,0,initialize
initialize,2025-07-17 12:02:23.068457,0,2,0,0,0,0,initialize
initialize,2025-07-17 12:12:49.995801,0,1,0,0,0,0,initialize
initialize,2025-07-17 12:12:49.995804,0,2,0,0,0,0,initialize
1,2025-07-17 15:55:19.181801,1111110190190,2,0,0,620,0,3->4
1,2025-07-17 16:37:07.934124,11111116362,2,0,0,558,0,3->4
1,2025-07-17 16:59:45.498909,19647181251,2,0,0,630,0,3->4
1,2025-07-17 17:02:31.349523,11111114041,2,0,0,560,0,3->4
1,2025-07-17 17:23:52.456403,1111111248249,1,563,0,0,0,1->2
1,2025-07-17 17:47:58.855484,19645674,2,0,0,567,0,3->4
1,2025-07-17 18:06:59.374283,1964711262,1,571,0,0,0,1->2
1,2025-07-17 18:35:46.975175,1111110192192,2,0,0,575,0,3->4
1,2025-07-17 19:18:18.329888,1964711262,2,0,0,560,0,3->4
1,2025-07-17 19:41:14.712689,1111110190190,2,0,0,0,559,4->3
1,2025-07-17 19:50:01.009165,1111110192192,1,607,0,0,0,1->2
1,2025-07-17 20:13:28.352535,11111114041,1,564,0,0,0,1->2
1,2025-07-17 20:17:09.153429,19647181251,2,0,0,0,572,4->3
1,2025-07-17 20:29:30.228742,19647181251,1,611,0,0,0,1->2
1,2025-07-17 21:05:59.843261,1111111248249,2,0,0,603,0,3->4
1,2025-07-17 21:28:08.225790,11111114041,2,0,0,0,557,4->3
1,2025-07-17 21:39:43.628416,11111116362,1,575,0,0,0,1->2
1,2025-07-17 22:36:43.647392,1111110192192,2,0,0,0,679,4->3
1,2025-07-17 22:50:32.038757,1111111248249,2,0,0,0,605,4->3
1,2025-07-17 23:06:45.958155,1964711262,2,0,0,0,555,4->3
1,2025-07-17 23:46:14.293073,11111114041,2,0,0,560,0,3->4
