Mode,Start_Time,Animal,Unit,Drinks1,Drinks2,Drinks3,Drinks4,Swap_direction
1,2025-07-23 02:51:00.628522,19647186244,2,0,0,0,546,4->3
1,2025-07-23 03:51:59.697777,1111110209209,2,0,0,0,542,4->3
1,2025-07-23 04:05:37.816376,196471892,2,0,0,535,0,3->4
initialize,2025-07-23 11:34:39.575464,0,1,0,0,0,0,initialize
initialize,2025-07-23 11:34:39.575467,0,2,0,0,0,0,initialize
initialize,2025-07-23 11:36:45.885769,0,1,0,0,0,0,initialize
initialize,2025-07-23 11:36:45.885772,0,2,0,0,0,0,initialize
initialize,2025-07-23 12:16:00.698348,0,1,0,0,0,0,initialize
initialize,2025-07-23 12:16:00.698352,0,2,0,0,0,0,initialize
initialize,2025-07-23 12:33:42.710603,0,1,0,0,0,0,initialize
initialize,2025-07-23 12:33:42.710606,0,2,0,0,0,0,initialize
initialize,2025-07-23 12:37:50.957326,0,1,0,0,0,0,initialize
initialize,2025-07-23 12:37:50.957330,0,2,0,0,0,0,initialize
1,2025-07-23 15:18:42.884834,19647186244,2,0,0,593,0,3->4
1,2025-07-23 15:31:37.323045,19644148217,2,0,0,574,0,3->4
1,2025-07-23 15:46:32.921008,1111110252252,2,0,0,569,0,3->4
1,2025-07-23 17:10:23.552086,196471892,2,0,0,0,542,4->3
1,2025-07-23 17:35:02.983889,1111110209209,2,0,0,0,537,4->3
1,2025-07-23 17:36:02.426701,1111111151150,2,0,0,0,776,4->3
1,2025-07-23 18:31:51.505822,1111111134135,2,0,0,580,0,3->4
1,2025-07-23 19:26:06.786465,19644148217,2,0,0,0,563,4->3
1,2025-07-23 19:28:46.934555,19645782,2,0,0,0,598,4->3
1,2025-07-23 19:31:33.116870,1111110252252,2,0,0,0,589,4->3
1,2025-07-23 20:05:14.851756,19647186244,2,0,0,0,535,4->3
1,2025-07-23 20:30:21.176722,1111110209209,2,0,0,547,0,3->4
1,2025-07-23 21:12:17.417991,1111111151150,2,0,0,536,0,3->4
1,2025-07-23 21:23:09.873566,19647186244,2,0,0,537,0,3->4
1,2025-07-23 21:51:23.400272,19645782,2,0,0,564,0,3->4
1,2025-07-23 22:03:36.822987,19644148217,2,0,0,540,0,3->4
1,2025-07-23 22:10:22.186091,196471892,2,0,0,543,0,3->4
1,2025-07-23 22:58:09.641815,1111110209209,2,0,0,0,550,4->3
1,2025-07-23 23:00:40.264092,1111111134135,2,0,0,0,653,4->3
