Mode,Start_Time,Animal,Unit,Drinks1,Drinks2,Drinks3,Drinks4,Swap_direction
initialize,2025-07-27 11:13:37.924971,0,1,0,0,0,0,initialize
initialize,2025-07-27 11:13:37.924974,0,2,0,0,0,0,initialize
initialize,2025-07-27 11:19:34.670381,0,1,0,0,0,0,initialize
initialize,2025-07-27 11:19:34.670386,0,2,0,0,0,0,initialize
initialize,2025-07-27 11:26:46.219406,0,1,0,0,0,0,initialize
initialize,2025-07-27 11:26:46.219409,0,2,0,0,0,0,initialize
initialize,2025-07-27 11:29:06.543512,0,1,0,0,0,0,initialize
initialize,2025-07-27 11:29:06.543515,0,2,0,0,0,0,initialize
initialize,2025-07-27 11:30:30.103117,0,1,0,0,0,0,initialize
initialize,2025-07-27 11:30:30.103121,0,2,0,0,0,0,initialize
initialize,2025-07-27 12:40:18.043531,0,1,0,0,0,0,initialize
initialize,2025-07-27 12:40:18.043535,0,2,0,0,0,0,initialize
initialize,2025-07-27 12:43:54.092306,0,1,0,0,0,0,initialize
initialize,2025-07-27 12:43:54.092309,0,2,0,0,0,0,initialize
initialize,2025-07-27 12:44:46.571856,0,1,0,0,0,0,initialize
initialize,2025-07-27 12:44:46.571859,0,2,0,0,0,0,initialize
1,2025-07-27 15:57:46.996419,1111111134135,1,0,626,0,0,2->1
1,2025-07-27 17:39:17.968342,19644148217,1,0,537,0,0,2->1
1,2025-07-27 17:54:52.520144,1111111151150,2,0,0,0,571,4->3
1,2025-07-27 18:25:48.167495,1111110252252,1,0,640,0,0,2->1
1,2025-07-27 18:31:49.445384,19647186244,1,0,535,0,0,2->1
1,2025-07-27 19:00:53.976394,19645782,2,0,0,0,561,4->3
1,2025-07-27 20:31:33.311490,1111110209209,2,0,0,0,551,4->3
initialize,2025-07-27 21:19:10.751071,0,1,0,0,0,0,initialize
initialize,2025-07-27 21:19:10.751074,0,2,0,0,0,0,initialize
