Mode,Start_Time,Animal,Unit,Drinks1,Drinks2,Drinks3,Drinks4,Swap_direction
1,2025-07-30 00:12:24.982473,19644148217,2,0,0,541,0,3->4
1,2025-07-30 00:34:57.910619,1111111134135,2,0,0,0,578,4->3
1,2025-07-30 05:05:47.934419,196471892,2,0,0,0,534,4->3
initialize,2025-07-30 11:16:03.299331,0,1,0,0,0,0,initialize
initialize,2025-07-30 11:16:03.299335,0,2,0,0,0,0,initialize
initialize,2025-07-30 11:55:51.588640,0,1,0,0,0,0,initialize
initialize,2025-07-30 11:55:51.588643,0,2,0,0,0,0,initialize
initialize,2025-07-30 12:44:35.873030,0,1,0,0,0,0,initialize
initialize,2025-07-30 12:44:35.873033,0,2,0,0,0,0,initialize
initialize,2025-07-30 13:14:01.958032,0,1,0,0,0,0,initialize
initialize,2025-07-30 13:14:01.958035,0,2,0,0,0,0,initialize
initialize,2025-07-30 13:21:20.443517,0,1,0,0,0,0,initialize
initialize,2025-07-30 13:21:20.443521,0,2,0,0,0,0,initialize
1,2025-07-30 16:12:25.851691,1111111151150,2,0,0,546,0,3->4
1,2025-07-30 16:30:17.496518,196471892,2,0,0,541,0,3->4
1,2025-07-30 16:36:46.352609,19645782,2,0,0,590,0,3->4
1,2025-07-30 17:11:29.899266,19644148217,2,0,0,0,579,4->3
1,2025-07-30 17:32:48.075559,1111110252252,2,0,0,0,544,4->3
1,2025-07-30 17:35:36.418664,19647186244,2,0,0,0,536,4->3
1,2025-07-30 17:42:48.608275,1111110209209,2,0,0,559,0,3->4
1,2025-07-30 18:07:31.001062,1111111134135,2,0,0,0,535,4->3
1,2025-07-30 20:29:01.976411,19647186244,2,0,0,555,0,3->4
1,2025-07-30 21:12:28.813402,19644148217,2,0,0,535,0,3->4
1,2025-07-30 21:24:20.887658,1111110252252,2,0,0,625,0,3->4
1,2025-07-30 21:35:09.335621,1111111151150,2,0,0,0,535,4->3
1,2025-07-30 21:36:41.516888,196471892,2,0,0,0,539,4->3
1,2025-07-30 22:21:47.906562,19645782,2,0,0,0,535,4->3
