Mode,Start_Time,Animal,Unit,Drinks1,Drinks2,Drinks3,Drinks4,Swap_direction
1,2025-07-21 23:57:48.616654,1111110252252,2,0,0,0,902,4->3
1,2025-07-22 00:24:27.259339,19644148217,2,0,0,0,1085,4->3
1,2025-07-22 00:40:50.531369,1111110252252,2,0,0,1309,0,3->4
1,2025-07-22 00:58:01.355360,1111111134135,2,0,0,0,1713,4->3
1,2025-07-22 01:19:28.382629,1111111134135,2,0,0,754,0,3->4
1,2025-07-22 01:32:24.690390,19647186244,2,0,0,0,1334,4->3
1,2025-07-22 01:51:01.435899,19647186244,2,0,0,1082,0,3->4
1,2025-07-22 02:13:27.908959,1111110209209,2,0,0,0,1257,4->3
1,2025-07-22 02:36:56.285355,1111110252252,1,1,536,0,0,2->1
1,2025-07-22 02:35:02.177503,1111110252252,2,0,0,0,4650,4->3
1,2025-07-22 04:03:09.962772,19647186244,2,0,0,0,998,4->3
1,2025-07-22 04:12:05.438781,1111110252252,2,0,0,6094,0,3->4
1,2025-07-22 05:56:56.663376,19645782,2,0,0,0,767,4->3
1,2025-07-22 06:09:53.187962,196471892,2,0,0,0,5760,4->3
1,2025-07-22 07:49:10.393448,19644148217,2,0,0,621,0,3->4
1,2025-07-22 07:52:34.404606,1111111134135,2,0,0,0,793,4->3
1,2025-07-22 08:02:01.726207,19647186244,2,0,0,3915,0,3->4
1,2025-07-22 09:09:04.031611,19645782,2,0,0,1068,0,3->4
1,2025-07-22 09:45:09.773609,19644148217,2,0,0,0,2794,4->3
initialize,2025-07-22 11:07:23.810376,0,1,0,0,0,0,initialize
initialize,2025-07-22 11:07:23.810380,0,2,0,0,0,0,initialize
initialize,2025-07-22 11:18:47.922695,0,1,0,0,0,0,initialize
initialize,2025-07-22 11:18:47.922698,0,2,0,0,0,0,initialize
initialize,2025-07-22 12:07:33.974453,0,1,0,0,0,0,initialize
initialize,2025-07-22 12:07:33.974456,0,2,0,0,0,0,initialize
initialize,2025-07-22 12:08:51.565398,0,1,0,0,0,0,initialize
initialize,2025-07-22 12:08:51.565402,0,2,0,0,0,0,initialize
initialize,2025-07-22 12:29:46.555914,0,1,0,0,0,0,initialize
initialize,2025-07-22 12:29:46.555919,0,2,0,0,0,0,initialize
initialize,2025-07-22 12:32:55.244127,0,1,0,0,0,0,initialize
initialize,2025-07-22 12:32:55.244131,0,2,0,0,0,0,initialize
1,2025-07-22 14:46:52.587333,19644148217,2,0,0,596,0,3->4
1,2025-07-22 14:57:44.826805,1111110252252,2,0,0,614,0,3->4
1,2025-07-22 15:39:16.771150,19647186244,2,0,0,841,0,3->4
1,2025-07-22 17:14:10.879706,1111111134135,2,0,0,555,0,3->4
1,2025-07-22 18:24:48.593224,196471892,2,0,0,0,571,4->3
1,2025-07-22 18:28:18.442280,1111110209209,2,0,0,0,548,4->3
1,2025-07-22 18:48:18.902815,19644148217,2,0,0,0,551,4->3
1,2025-07-22 19:17:32.498176,19645782,2,0,0,0,605,4->3
1,2025-07-22 19:46:36.892356,1111110252252,2,0,0,0,660,4->3
1,2025-07-22 19:50:28.617904,19647186244,2,0,0,0,552,4->3
1,2025-07-22 19:58:40.319460,1111111151150,2,0,0,0,763,4->3
1,2025-07-22 21:41:05.220204,1111110209209,2,0,0,566,0,3->4
1,2025-07-22 21:54:33.526321,19647186244,2,0,0,544,0,3->4
1,2025-07-22 22:06:39.811614,19644148217,2,0,0,549,0,3->4
1,2025-07-22 22:07:57.678154,1111111134135,2,0,0,0,548,4->3
1,2025-07-22 22:37:14.680846,19645782,2,0,0,551,0,3->4
1,2025-07-22 23:48:58.394435,1111110252252,2,0,0,549,0,3->4
